OBJECTID,wdpaid,en_name,PATH,ROW,Shape_Length,Shape_Area
254,2573,Willandra Lakes Region,94,83,3.193407375976656,0.176746230958157
255,2573,Willandra Lakes Region,94,84,2.861323782371366,0.073405983595911
256,2573,Willandra Lakes Region,95,83,3.984453248623292,0.210438501553537
257,2573,Willandra Lakes Region,95,84,1.516483748901798,0.022190698229166
258,2573,Willandra Lakes Region,213,160,1.910497813930936,0.027570317761866
259,2573,Willandra Lakes Region,213,161,4.182190213646214,0.214396497360142
260,2573,Willandra Lakes Region,214,160,0.821245963357659,0.006966128683593
261,2574,Mount Nimba Strict Nature Reserve,72,189,0.836534810890718,0.015779499105504
262,2574,Mount Nimba Strict Nature Reserve,199,55,0.836534810890718,0.015779499105504
263,2575,Serengeti National Park,45,182,3.057080480984916,0.332001241291684
264,2575,Serengeti National Park,45,183,2.970816838753563,0.350178080602592
265,2575,Serengeti National Park,46,182,4.296811669177775,0.530740479041115
266,2575,Serengeti National Park,46,183,1.513512027833602,0.050046377768820
267,2575,Serengeti National Park,169,61,2.437875178614049,0.280224707384843
268,2575,Serengeti National Park,169,62,3.995118122437573,0.640155598051538
269,2575,Serengeti National Park,170,61,2.868415729120037,0.146981099222575
270,2575,Serengeti National Park,170,62,2.349885058084218,0.191037013978024
271,2577,Mammoth Cave National Park,20,34,0.887109021210721,0.017688156823337
272,2577,Mammoth Cave National Park,21,34,1.141234562593901,0.021090454327915
273,2577,Mammoth Cave National Park,117,210,0.398078948804168,0.004298888773892
274,2577,Mammoth Cave National Park,118,210,1.141234562593901,0.021090454327915
275,2578,Djoudj National Bird Sanctuary,76,195,0.611579158615879,0.017684177547140
276,2578,Djoudj National Bird Sanctuary,205,49,0.611579158615879,0.017684177547140
277,2579,Olympic National Park,47,27,5.671350784756388,0.430986180346227
278,2579,Olympic National Park,48,26,1.777579100806708,0.045082331733800
279,2579,Olympic National Park,48,27,5.863125789000939,0.260685353928211
280,2579,Olympic National Park,139,217,2.597576930796536,0.336832971342337
281,2579,Olympic National Park,139,218,1.435291523470005,0.041658857880513
282,2579,Olympic National Park,140,217,6.631755002553133,0.439817282037559
283,2579,Olympic National Park,140,218,0.615592632088089,0.005759853402650
284,2579,Olympic National Park,141,217,2.142885119234105,0.020604583230258
285,2580,Niokolo-Koba National Park,74,193,4.029699325040304,0.565992216822381
286,2580,Niokolo-Koba National Park,75,193,2.845825421485999,0.244052213818603
287,2580,Niokolo-Koba National Park,202,51,3.407617139350486,0.465346921069344
288,2580,Niokolo-Koba National Park,203,51,3.317163432230298,0.337431856477618
289,4322,Ichkeul National Park,55,210,0.144510197797987,0.000943210575924
290,4322,Ichkeul National Park,56,210,0.553792919325635,0.012596842588742
291,4322,Ichkeul National Park,191,34,0.553792919325635,0.012596842588742
292,4322,Ichkeul National Park,192,34,0.553792919325635,0.012596842588742
293,4325,Redwood National and State Parks,46,31,3.069548686260823,0.061721315880481
294,4325,Redwood National and State Parks,141,213,3.069548686260823,0.061721315880481
295,4325,Redwood National and State Parks,142,212,0.613807381673922,0.014341680726703
296,4325,Redwood National and State Parks,142,213,2.954650719189642,0.057214962289251
297,4326,Durmitor National Park,48,214,2.021634877025361,0.039830276697303
298,4326,Durmitor National Park,49,214,1.658556594438319,0.035115098282018
299,4326,Durmitor National Park,186,30,1.385718502812212,0.014079359723731
300,4326,Durmitor National Park,187,30,2.021634877025361,0.039830276697303
301,4327,Garamba National Park,48,187,4.916221792456740,0.417693400129001
302,4327,Garamba National Park,173,57,1.807450416860854,0.054789081060370
303,4327,Garamba National Park,174,57,4.691936029679318,0.404000669236351
304,4328,Kahuzi-Biega National Park,49,182,1.106978053974077,0.028953974796683
305,4328,Kahuzi-Biega National Park,49,183,0.783656791055934,0.024959437130262
